,C.35 Ayutthaya (Chao Phraya R.),S.5 Ayutthaya (Pa Sak R.),C.7A Ang Thong (Chao Phraya R.),S.26 Tha Ruea (Pa Sak R.),C.13 Sapphaya (Chao Phraya r.),S.9 Kaeng Khoi (Pa Sak r.),C.35 river/brae,S.5 river/brae,C.7A river/brae,S.26 river/brae,date,critical_wat_lev_C.35,critical_wat_lev_S.5,Class_C.35,Class_S.5
0,0.74,0.79,1.02,0.7,0.0,0.0,0.1615720524017467,0.16808510638297872,0.102,0.0875,2020-08-18,3.2,3,0.0,0.0
1,0.68,0.76,0.87,0.65,0.0,2.0,0.14847161572052406,0.16170212765957445,0.087,0.08125,2020-08-19,3.2,3,0.0,0.0
2,0.3,0.64,0.85,0.64,0.0,0.5,0.06550218340611354,0.13617021276595745,0.08499999999999999,0.08,2020-08-20,3.2,3,0.0,0.0
3,0.33,0.67,0.9,0.73,3.0,1.5,0.07205240174672489,0.1425531914893617,0.09,0.09125,2020-08-21,3.2,3,0.0,0.0
4,0.62,0.59,0.9,0.79,8.0,12.5,0.13537117903930132,0.125531914893617,0.09,0.09875,2020-08-22,3.2,3,0.0,0.0
5,0.61,0.56,0.92,0.78,0.0,0.0,0.1331877729257642,0.11914893617021274,0.092,0.0975,2020-08-23,3.2,3,0.0,0.0
6,0.61,0.57,0.88,0.79,0.0,0.0,0.1331877729257642,0.12127659574468085,0.08800000000000001,0.09875,2020-08-24,3.2,3,0.0,0.0
7,0.69,0.62,1.02,0.89,0.0,0.0,0.15065502183406113,0.13191489361702127,0.102,0.11125,2020-08-25,3.2,3,0.0,0.0
8,0.73,0.68,0.99,0.92,0.0,0.0,0.1593886462882096,0.1446808510638298,0.099,0.115,2020-08-26,3.2,3,0.0,0.0
9,0.75,0.7,1.06,0.92,2.5,22.5,0.16375545851528386,0.14893617021276595,0.106,0.115,2020-08-27,3.2,3,0.0,0.0
10,0.73,0.68,0.96,0.8,21.4,0.0,0.1593886462882096,0.1446808510638298,0.096,0.1,2020-08-28,3.2,3,0.0,0.0
11,0.76,0.78,1.04,0.75,0.0,0.0,0.16593886462882096,0.16595744680851066,0.104,0.09375,2020-08-29,3.2,3,0.0,0.0
12,0.83,0.85,1.07,0.74,0.0,0.0,0.1812227074235808,0.1808510638297872,0.107,0.0925,2020-08-30,3.2,3,0.0,0.0
13,0.85,0.88,1.07,0.74,60.3,3.0,0.185589519650655,0.18723404255319148,0.107,0.0925,2020-08-31,3.2,3,0.0,0.0
14,0.84,0.89,1.08,0.7,0.0,3.0,0.1834061135371179,0.1893617021276596,0.108,0.0875,2020-09-01,3.2,3,0.0,0.0
15,0.67,0.66,1.0,0.65,4.0,0.0,0.1462882096069869,0.14042553191489365,0.1,0.08125,2020-09-02,3.2,3,0.0,0.0
16,0.6,0.59,0.94,0.59,0.0,0.0,0.13100436681222707,0.125531914893617,0.094,0.07375,2020-09-03,3.2,3,0.0,0.0
17,0.6,0.55,0.95,0.7,0.0,0.0,0.13100436681222707,0.11702127659574467,0.095,0.0875,2020-09-04,3.2,3,0.0,0.0
