C.35 Ayutthaya (Chao Phraya R.),S.5 Ayutthaya (Pa Sak R.),C.7A Ang Thong (Chao Phraya R.),S.26 Tha Ruea (Pa Sak R.),C.13 Sapphaya (Chao Phraya r.),S.9 Kaeng Khoi (Pa Sak r.),C.35 river/brae,S.5 river/brae,C.7A river/brae,S.26 river/brae,date
0.74,0.79,1.02,0.7,0.0,0.0,0.1615720524017467,0.16808510638297872,0.10200000000000001,0.0875,2020-08-18
0.68,0.76,0.87,0.65,0.0,2.0,0.14847161572052403,0.16170212765957445,0.087,0.08125,2020-08-19
0.3,0.64,0.85,0.64,0.0,0.5,0.06550218340611354,0.13617021276595745,0.08499999999999999,0.08,2020-08-20
0.33,0.67,0.9,0.73,3.0,1.5,0.07205240174672489,0.1425531914893617,0.09,0.09125,2020-08-21
0.62,0.59,0.9,0.79,8.0,12.5,0.13537117903930132,0.125531914893617,0.09,0.09875,2020-08-22
0.61,0.56,0.92,0.78,0.0,0.0,0.1331877729257642,0.11914893617021277,0.092,0.0975,2020-08-23
0.61,0.57,0.88,0.79,0.0,0.0,0.1331877729257642,0.12127659574468083,0.088,0.09875,2020-08-24
0.69,0.62,1.02,0.89,0.0,0.0,0.15065502183406113,0.13191489361702127,0.10200000000000001,0.11125,2020-08-25
0.73,0.68,0.99,0.92,0.0,0.0,0.1593886462882096,0.1446808510638298,0.099,0.115,2020-08-26
0.75,0.7,1.06,0.92,2.5,22.5,0.16375545851528384,0.14893617021276595,0.10600000000000001,0.115,2020-08-27
0.73,0.68,0.96,0.8,21.4,0.0,0.1593886462882096,0.1446808510638298,0.096,0.1,2020-08-28
0.76,0.78,1.04,0.75,0.0,0.0,0.16593886462882096,0.16595744680851063,0.10400000000000001,0.09375,2020-08-29
0.83,0.85,1.07,0.74,0.0,0.0,0.18122270742358076,0.18085106382978722,0.10700000000000001,0.0925,2020-08-30
0.85,0.88,1.07,0.74,60.3,3.0,0.185589519650655,0.18723404255319148,0.10700000000000001,0.0925,2020-08-31
